,magnitude,time
1,40989,0
2,1445,21
3,563,31
4,329,33
5,555,49
6,513,54
7,28145,58
8,100,62
9,164,82
10,491,87
11,303,87
12,532,89
13,825,100
14,2608,100
15,74,101
16,10639,102
17,1054,104
18,195,113
19,877,117
20,469,128
21,421,134
22,228,148
23,11,149
24,108,177
25,686,202
26,62,202
27,490,236
28,373,252
29,457,283
30,981,288
31,553,292
32,354,296
33,723,300
34,193,346
35,580,351
36,873,352
37,326,419
38,1910,432
39,510,443
40,920,449
41,591,452
42,816,488
43,1352,590
44,210,702
45,710,752
46,708,752
47,375,782
48,1003,789
49,76,801
50,411,811
51,48,833
52,99074,953
53,67,972
54,281,1005
55,319,1012
56,371,1013
57,225,1016
58,504,1045
59,233,1055
60,1142,1059
61,42,1067
62,876,1073
63,21,1087
64,1520,1123
65,991,1128
66,325,1179
67,284,1222
68,839,1235
69,1786,1260
70,693,1274
71,56,1275
72,109,1291
73,88,1328
74,12,1345
75,299,1355
76,486,1376
77,40,1377
78,1215,1381
79,655,1419
80,30,1443
81,73,1596
82,1531,1597
83,12,1610
84,124,1687
85,21,1763
86,390,1787
87,169,1848
88,154,1947
89,71,1973
90,105,2135
91,116,2170
92,1365,2194
93,399,2267
94,55,2387
95,50,2507
96,5657,2637
97,149,2639
98,1170,2645
99,11320,2648
100,26989,2658
101,24574,2670
102,16719,2684
103,851,2692
104,166,2692
105,59130,2699
106,79535,2712
107,48,2715
108,108,2723
109,193081,2727
110,567,2731
111,87884,2751
112,344,2762
113,287,2774
114,110824,2774
115,146,2794
116,50265,2795
117,64,2802
118,53015,2808
119,4541,2811
120,87805,2820
